,NAME_2,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population,statecode,Population Density,Night Light Class
141,Okpokwu,-0.002416685,494,726.903,Benue,7.010938278,7.851019985,143.128,132298.7832,RI,182.0033529,0.003651917
144,Ukum,-0.012899769,403,1515.396,Benue,7.652141715,9.583520569,159.013,339565.3791,RI,224.0769931,0.003651917
146,Vandeikya,-0.0016449,512,766.631,Benue,6.830871318,9.055975942,122.298,129127.1265,ED,168.4345226,0.003651917
148,Askira-Uba,-0.017671898,223,2198.599,Borno,10.64062904,13.02572894,275.575,281027.3177,ED,127.8210887,0.003651917
149,Bama,-0.001912477,157,4486.311,Borno,11.5505769,14.15011944,333.282,250440.4888,ED,55.8232563,0.003651917
150,Bayo,-0.005910769,227,1065.878,Borno,10.42057698,11.78995132,152.602,168992.5932,ED,158.5477824,0.003651917
151,Biu,-0.007042969,214,3326.788,Borno,10.79187619,12.18489382,268.829,289775.9136,ED,87.10381112,0.003651917
152,Chibok,-0.022636835,220,1399.068,Borno,10.8267441,12.87992709,149.955,118923.1077,ED,85.00166375,0.003651917
153,Damboa,-0.010433045,188,6485.544,Borno,11.12721545,12.83707508,427.86,190951.26,ED,29.44259726,0.003651917
154,Dikwa,0.001068616,122,1791.347,Borno,11.91447882,14.12030319,199.168,102234.1057,ED,57.07107875,0.003651917
155,Gubio,0.000283,37,2504.059,Borno,12.66355235,12.79492413,215.022,171860.1275,ED,68.63261908,0.003651917
156,Guzamala,-0.003590599,23,2313.066,Borno,12.87652106,13.27319115,245.222,127734.4799,ED,55.22301564,0.003651917
157,Gwoza,-0.007585018,191,2432.214,Borno,11.18755933,13.64766461,206.635,276180.7135,ED,113.5511569,0.003651917
158,Hawul,0.002417804,233,2079.023,Borno,10.45714313,12.37203964,217.165,253529.6761,ED,121.9465471,0.003651917
160,Kaga,-0.008462529,149,2773.567,Borno,11.64686882,12.54235674,238.477,130899.3899,ED,47.19532281,0.003651917
161,Kala-Balge,-0.003355443,96,1241.455,Borno,12.03717258,14.52584329,188.29,67193.308,ED,54.12464246,0.003651917
163,Kukawa,-0.002342662,14,2086.713,Borno,12.98130153,13.59553353,273.008,136617.853,TA,65.4703608,0.003651917
164,Kwaya Kusar,-0.010025813,236,735.947,Borno,10.4407422,11.98078451,119.134,132714.4587,TA,180.3315438,0.003651917
166,Magumeri,-0.003684781,79,5133.506,Borno,12.17777926,12.67468465,305.925,272045.2321,TA,52.99404191,0.003651917
168,Marte,-0.000289,751,2283.258,Borno,12.33787792,13.85996069,238.341,154938.5883,TA,67.85855488,0.003651917
170,Monguno,-0.00178373,64,1515.039,Borno,12.48464241,13.55810823,192.641,186832.2079,TA,123.3184148,0.003651917
171,Ngala,-0.007311463,90,1328.809,Borno,12.19786195,14.27299468,153.916,145226.4957,TA,109.2907225,0.003651917
172,Nganzai,0.002294147,48,2502.439,Borno,12.48698824,13.17752524,243.165,143482.0664,TA,57.33688869,0.003651917
173,Shani,-0.011039936,246,1197.438,Borno,10.17414081,12.06538259,150.52,229340.1423,TA,191.5256926,0.003651917
180,Boki,-0.012700187,563,2920.989,Cross River,6.262513029,8.990905206,238.495,186000.0195,CR,63.67706948,0.003651917
183,Etung,-0.021257644,615,906.435,Cross River,5.838645707,8.775233591,148.887,56484.5846,CR,62.31509661,0.003651917
184,Ikom,-0.00027,584,2009.384,Cross River,6.063318329,8.589229701,216.359,207818.667,CR,103.4240678,0.003651917
223,Ikwo,0.003646645,600,463.579,Ebonyi,6.07863875,8.172586212,114.72,355238.0451,,766.2945153,0.003651917
282,Balanga,3.67E-05,260,1801.476,Gombe,9.844473884,11.72003397,216.627,214769.5019,KO,119.2186307,0.003651917
283,Billiri,-0.005537116,265,839.195,Gombe,9.881023632,11.18028806,136.965,177841.587,KO,211.9192643,0.003651917
284,Dukku,-0.006666514,205,3692.063,Gombe,10.80601386,10.87001452,270.941,256370.1804,KO,69.43819225,0.003651917
287,Kaltungo,-0.008582746,262,1061.022,Gombe,9.87648258,11.50372216,143.977,174806.4627,PL,164.7529106,0.003651917
289,Nafada,0.002184343,203,1895.418,Gombe,11.10013024,11.21462745,171.672,93525.7254,PL,49.34306069,0.003651917
290,Shomgom,-0.011925741,269,851.998,Gombe,9.687557856,11.24573221,127.024,134735.1645,PL,158.1402357,0.003651917
320,Babura,0.002277919,50,1043.889,Jigawa,12.58695039,8.837529219,154.618,318938.3139,LA,305.5289537,0.003651917
350,Ikara,-0.000204,190,902.758,Kaduna,11.25264792,8.196087483,204.695,344838.1418,KW,381.9829254,0.003651917
353,Kachia,0.000544,255,4624.107,Kaduna,9.818531789,7.648666673,362.304,338468.7953,KW,73.1965751,0.003651917
357,Kajuru,-0.003316936,242,2234.228,Kaduna,10.2523021,7.885087489,201.982,183670.5509,KW,82.20761305,0.003651917
359,Kauru,-0.009680654,231,2739.35,Kaduna,10.26329012,8.286802621,317.624,336285.4222,AD,122.7610281,0.003651917
360,Kubau,-0.002991397,211,2428.078,Kaduna,10.84709665,8.343238003,248.365,520846.5868,AD,214.509825,0.003651917
362,Lere,-0.00202759,232,2325.557,Kaduna,10.32653332,8.555375355,233.654,555958.757,AD,239.0647733,0.003651917
366,Soba,-0.002076367,209,2159.857,Kaduna,10.93982174,7.985741605,192.611,542500.2958,AD,251.174173,0.003651917
382,Garko,-0.003368476,172,458.608,Kano,11.55063808,8.808933781,127.175,219544.2736,OG,478.7188047,0.003651917
384,Gaya,0.003059412,154,619.544,Kano,11.77295068,9.016087206,119.561,265273.4781,OG,428.1753646,0.003651917
391,Kibiya,-0.006459693,178,373.929,Kano,11.4879074,8.64464937,85.52,146385.8359,OG,391.4802968,0.003651917
402,Rogo,6.53E-05,177,814.539,Kano,11.50510088,7.84791856,114.528,301983.413,EN,370.7415029,0.003651917
404,Sumaila,-0.011383717,184,1190.879,Kano,11.31154184,8.870888222,157.924,371164.5493,EN,311.6727638,0.003651917
415,Batsari,0.003616707,39,1072.743,Katsina,12.77216625,7.244708626,163.425,295853.2455,EN,275.791355,0.003651917
416,Baure,-0.000779,47,735.83,Katsina,12.78769183,8.755763971,123.193,282913.3943,BA,384.4820058,0.003651917
421,Danmusa,-0.003613663,104,794.96,Katsina,12.20703584,7.334250498,124.908,208161.8005,BA,261.8519177,0.003651917
440,Matazu,0.001318548,98,517.26,Katsina,12.24530625,7.627552973,93.649,158285.2705,EB,306.0071734,0.003651917
441,Musawa,0.00265241,112,862.701,Katsina,12.07253995,7.695137791,167.405,178815.7823,EB,207.2743422,0.003651917
444,Safana,-0.003776581,71,1353.244,Katsina,12.46986042,7.260129069,157.759,233431.1054,EB,172.497425,0.003651917
451,Bagudu,0.002990419,754,4919.312,Kebbi,11.3169455,3.964112828,327.435,347390.3716,KB,70.6176741,0.003651917
455,Wasagu-Danko,-0.006526368,768,3442.304,Kebbi,11.4171193,5.651138235,339.835,337427.9165,KB,98.02385742,0.003651917
462,Ngaski,-0.003799071,216,2595.889,Kebbi,10.54388828,4.774278414,308.5,129342.3709,KB,49.82584806,0.003651917
463,Sakaba,-0.01161102,197,1359.464,Kebbi,11.14853626,5.544382965,174.433,132836.212,KB,97.71219539,0.003651917
464,Shanga,0.001643734,187,1502.343,Kebbi,11.20841565,4.726687552,205.3,183220.0049,KB,121.9561744,0.003651917
466,Yauri,0.001536622,210,953.027,Kebbi,11.00141418,4.606525387,205.94,101747.1478,KB,106.7620831,0.003651917
470,Ankpa,0.002143709,439,1269.452,Kogi,7.433711677,7.651150523,166.68,260857.9453,BY,205.4886245,0.003651917
473,Ibaji,-0.000584,508,1382.18,Kogi,6.799308643,6.763027373,165.275,66559.1411,BY,48.15519042,0.003651917
474,Idah,0.003247121,502,47.846,Kogi,7.06072277,6.713153885,30.648,35322.7548,BY,738.2593069,0.003651917
486,Omala,0.003251476,384,1753.854,Kogi,7.799618662,7.540982471,176.079,96743.6379,AN,55.1605994,0.003651917
487,Yagba East,-0.000698,355,1519.535,Kogi,8.164109031,5.761314932,237.886,67100.3064,AN,44.15844742,0.003651917
526,Awe,-0.020159027,353,2627.772,Nasarawa,8.249846841,9.218539268,261.033,181481.1166,OY,69.06273322,0.003651917
527,Doma,-0.007335718,350,2605.347,Nasarawa,8.163337811,8.281219083,265.182,1051199.328,OY,403.4776665,0.003651917
529,Keana,-0.018902763,366,1055.373,Nasarawa,8.167463773,8.768291906,152.422,114682.9795,OY,108.6658267,0.003651917
535,Obi,-0.013209721,354,992.172,Nasarawa,8.347375883,8.727688167,154.195,89982.8918,OY,90.69283531,0.003651917
536,Toto,-0.007212118,346,2737.782,Nasarawa,8.238495568,7.202320688,257.718,131405.2564,OY,47.9969758,0.003651917
539,Agwara,0.000367,217,1801.119,Niger,10.774757,4.539767062,177.907,94013.5595,OY,52.19730595,0.003651917
549,Lapai,-0.000349,298,3042.211,Niger,8.726986257,6.635199529,365.636,200332.5991,KN,65.85098769,0.003651917
551,Magama,0.003304858,226,3764.949,Niger,10.37080155,4.980060431,360.828,296466.9599,KN,78.74395109,0.003651917
552,Mariga,-0.014037968,212,5772.875,Niger,10.67064522,5.819122728,369.762,373467.9393,KN,64.69357804,0.003651917
553,Mashegu,-0.000193,251,9114.887,Niger,9.862640245,5.233473972,492.217,665585.148,KN,73.02176626,0.003651917
558,Rijau,-0.005065182,201,3040.086,Niger,11.07075525,5.158645227,256.499,216913.794,KN,71.35120322,0.003651917
562,Wushishi,-0.006973947,268,1886.07,Niger,9.676223969,5.933257986,238.34,107715.4618,KN,57.11106258,0.003651917
643,Ibarapa North,0.001000547,413,1247.332,Oyo,7.646153703,3.159181341,139.251,78839.6793,JI,63.20665172,0.003651917
670,Kanam,-0.017697544,271,3019.104,Plateau,9.527468541,10.05330366,294.186,147705.7514,SO,48.92370432,0.003651917
671,Kanke,0.003281002,291,1279.089,Plateau,9.397001132,9.578956443,156.741,78068.0958,SO,61.03413898,0.003651917
673,Langtang South,-0.015933451,338,1361.094,Plateau,8.583890977,9.810522448,148.518,119852.4549,SO,88.05597181,0.003651917
675,Mikang,-0.001150499,315,747.416,Plateau,9.013579258,9.570589155,153.224,79835.586,SO,106.8154629,0.003651917
677,Qua'an Pan,-0.012141378,321,2381.537,Plateau,8.738296416,9.133422377,224.661,243570.3054,SO,102.2744158,0.003651917
679,Shendam,-0.014401934,320,2501.515,Plateau,8.698298111,9.49977663,285.285,288083.6957,SO,115.1636891,0.003651917
680,Wase,-0.012478577,294,6209.003,Plateau,9.052514664,10.22896536,323.167,215512.0893,SO,34.70961269,0.003651917
708,Goronyo,-0.001497585,7,1651.61,Sokoto,13.37200055,5.807781897,255.14,191742.7709,BR,116.0944599,0.003651917
709,Gudu,-0.000227,755,4005.965,Sokoto,13.41484152,4.520069861,276.186,131624.8557,BR,32.8572156,0.003651917
710,Gwadabawa,0.002764663,6,1009.712,Sokoto,13.42676977,5.375989002,172.871,237214.6359,BR,234.9329669,0.003651917
711,Illela,-0.005184608,1,1298.423,Sokoto,13.6866942,5.724052401,174.726,240249.9169,BR,185.0320865,0.003651917
712,Isa,-0.005727746,753,2082.867,Sokoto,13.21256711,6.333493754,254.064,170709.1372,BR,81.9587315,0.003651917
713,Kebbe,0.001207114,117,2758.11,Sokoto,11.88230241,4.805727857,233.705,79882.2843,BR,28.96268978,0.003651917
715,Rabah,-0.006237503,17,2654.951,Sokoto,12.97772924,5.773742497,222.453,149126.9062,BR,56.1693629,0.003651917
716,Sabon Birni,-0.00263533,5,2241.75,Sokoto,13.48060895,6.266445641,201.102,355039.4836,BR,158.3760382,0.003651917
718,Silame,0.00130153,26,610.931,Sokoto,12.96422486,4.893639015,98.297,93701.9822,BR,153.3757203,0.003651917
723,Tureta,0.002064594,66,1293.001,Sokoto,12.48309746,5.459307587,178.822,87419.7734,ZA,67.60998128,0.003651917
728,Bali,-0.00719547,344,8546.623,Taraba,8.147595904,11.04836268,465.213,371218.8118,ZA,43.43456027,0.003651917
729,Donga,-0.013196608,374,3434.272,Taraba,7.681815989,10.28111244,377.591,208365.3826,ZA,60.67235868,0.003651917
731,Gassol,-0.022139031,336,5979.249,Taraba,8.443519101,10.57911189,359.334,551775.3335,ZA,92.28171188,0.003651917
732,Ibi,-0.031742745,339,2848.122,Taraba,8.300290384,9.774787371,351.999,112121.6509,ZA,39.36687084,0.003651917
734,Karim Lamido,-0.015017323,286,6901.537,Taraba,9.236293784,10.97055672,434.825,298359.3257,KD,43.23085216,0.003651917
735,Kurmi,-0.003895772,430,4969.12,Taraba,7.229056229,10.66791205,358.321,91719.0622,KD,18.45780786,0.003651917
736,Lau,-0.009198856,297,1817.237,Taraba,9.174284834,11.52091739,194.063,163365.4308,KD,89.89770228,0.003651917
738,Takum,-0.014141797,440,1554.192,Taraba,7.428880038,10.06740137,172.466,317266.405,KD,204.1359144,0.003651917
740,Wukari,-0.013020978,367,3801.356,Taraba,7.976299496,9.814869386,349.01,466232.8796,KD,122.6490967,0.003651917
743,Bade,-0.004622853,772,817.26,Yobe,12.71046002,10.89590789,216.207,164042.0041,KD,200.7219295,0.003651917
744,Bursari,0.003108809,45,3889.682,Yobe,12.71147029,11.42243002,251.058,137131.8983,KD,35.25529807,0.003651917
746,Fika,0.002943455,175,2117.579,Yobe,11.3771508,11.27834675,233.79,224547.9183,KD,106.039925,0.003651917
748,Geidam,0.003603096,42,4303.837,Yobe,12.64598151,12.08018802,280.586,211704.5372,KD,49.18972006,0.003651917
749,Gujba,-0.007651559,176,3351.005,Yobe,11.36346891,12.00868012,268.564,232536.0499,KD,69.39292836,0.003651917
750,Gulani,-0.01247922,208,2328.545,Yobe,10.94691609,11.74743179,234.289,208964.1637,KD,89.74022993,0.003651917
751,Jakusko,0.002044899,56,3908.839,Yobe,12.40609219,10.91499655,290.617,169834.2828,KD,43.44877924,0.003651917
753,Machina,-0.000366,18,1243.824,Yobe,13.02614718,9.998433484,180.189,106158.0236,KD,85.34810681,0.003651917
757,Tarmuwa,-0.000991,86,4504.328,Yobe,12.21004838,11.82883726,319.692,129830.2395,GO,28.82344259,0.003651917
759,Yusufari,0.002478698,9,4292.148,Yobe,13.16310127,10.85230728,376.191,172082.914,GO,40.09249308,0.003651917
760,Anka,-0.00033,102,2414.346,Zamfara,11.95629224,6.056730414,230.913,147432.8472,GO,61.06533496,0.003651917
762,Birnin-Magaji-Kiyaw,0.000118,73,1112.499,Zamfara,12.4825398,6.893006424,144.461,195741.5361,GO,175.9476063,0.003651917
763,Bukkuyum,-0.005577652,105,3128.65,Zamfara,11.93120186,5.700714154,247.598,237082.1594,GO,75.77778256,0.003651917
768,Maradun,-0.006153864,34,2331.225,Zamfara,12.75167786,6.274630648,235.205,181721.3912,,77.95103055,0.003651917
770,Shinkafi,0.000263,22,920.291,Zamfara,13.01383395,6.472302265,144.767,130267.2089,,141.5500194,0.003651917
773,Zurmi,-0.000399,756,2782.613,Zamfara,12.83184429,6.781314483,282.126,251731.8971,,90.46601058,0.003651917
