mean,system:index,AREA,LGA,STATE,Latitude,Longitude,PERIMETER
0.306336106,725,204.246,Nsit Ubium,Akwa Ibom,4.742737273,7.948754842,60.003
0.151236251,726,520.661,Khana,Rivers,4.695075219,7.428098413,103.493
4.537368395,727,194.759,Port Harcourt,Rivers,4.747750071,7.034301779,64.004
0.51707516,728,99.479,Asari-Toru,Rivers,4.741407063,6.829306302,55.917
0.474322644,729,101.697,Tai,Rivers,4.737835491,7.260695485,45.2
0.145100359,730,53.736,Udung Uko,Akwa Ibom,4.745103565,8.241685812,35.684
0.194968689,731,127.666,Urue Offong /Oruko,Akwa Ibom,4.710338154,8.158939634,51.303
8.13349597,732,226.901,Okrika,Rivers,4.657420827,7.102013498,89.791
2.413668445,733,1913.948,Brass,Bayelsa,4.457937412,6.382969789,330.64
0.436601029,734,231.496,Mbo,Akwa Ibom,4.646743486,8.240818505,72.887
2.347948553,735,533.696,Akuku-Toru,Rivers,4.549269526,6.73968338,125.944
1.324913458,736,67.644,Ogu /Bolo,Rivers,4.643497216,7.183441669,48.186
0.461907829,737,93.218,Gokana,Rivers,4.660026483,7.282618718,43.954
2.721918416,738,189.114,Eket,Akwa Ibom,4.628249078,7.942930075,64.858
0.608465127,739,151.591,Onna,Akwa Ibom,4.615966734,7.848686869,60.525
0.262474626,740,338.5,Ikot Abasi,Akwa Ibom,4.601067506,7.627443291,83.543
2.016389527,741,139.599,Esit Eket,Akwa Ibom,4.63339369,8.067647956,48.16
10.69227345,742,940.308,Nembe,Bayelsa,4.50931175,6.346443632,142.85
8.614411214,743,647.422,Bonny,Rivers,4.510660586,7.192507086,139.81
0.281158217,744,235.36,Andoni,Rivers,4.516090847,7.388384171,79.493
0.2717315,745,167.605,Opobo /Nkoro,Rivers,4.523239555,7.493693299,62.395
28.57227675,746,213.383,Ibeno,Akwa Ibom,4.562158435,8.101790693,118.972
0.338363098,747,109.034,Eastern Obolo,Akwa Ibom,4.516033702,7.684731485,75.93
0.016287318,748,1583.159,Imeko-Afon,Ogun,7.669554248,2.866053604,222.706
0.178124013,749,1205.291,Epe,Lagos,6.561913665,3.95022511,247.437
0.116433914,750,116.018,Calabar South,Cross River,4.880046111,8.261661602,69.79
-2.89E-04,751,2283.258,Marte,Borno,12.33787792,13.85996069,238.341
0.007709122,752,3244.578,Mobbar,Borno,13.05313572,12.70124146,298.171
-0.005727746,753,2082.867,Isa,Sokoto,13.21256711,6.333493754,254.064
0.002990419,754,4919.312,Bagudo,Kebbi,11.3169455,3.964112828,327.435
-2.27E-04,755,4005.965,Gudu,Sokoto,13.41484152,4.520069861,276.186
-3.99E-04,756,2782.613,Zurmi,Zamfara,12.83184429,6.781314483,282.126
0.011133579,757,10355.939,Borgu,Niger,10.37846117,4.162557712,582.572
0.01708663,758,1098.679,Maigatari,Jigawa,12.69140522,9.533658441,151.647
0.018073851,759,2523.44,Edu,Kwara,8.876399537,5.205395566,267.67
0.042741826,760,1488.303,Sule Tankarkar,Jigawa,12.62622333,9.170087581,180.385
0.030714999,761,336.193,Ise /Orun,Ekiti,7.426272032,5.395239663,93.604
0.00883628,762,783.513,Edati,Niger,9.027495576,5.618233981,149.074
0.048653405,763,2235.093,Kagarko,Kaduna,9.437805796,7.616832014,249.469
10.26324599,764,201.279,Eti-Osa,Lagos,6.452816939,3.533949934,85.069
18.56885596,765,43.227,Apapa,Lagos,6.437019209,3.362923608,34.006
0.07050635,766,85.967,Bakassi,Cross River,4.760766761,8.522511397,57.43
0.096333457,767,125.056,Bomadi,Delta,5.204623889,5.85268573,104.863
-0.006526368,768,3442.304,Danko Wasagu,Kebbi,11.4171193,5.651138235,339.835
0.291504546,769,388.51,Ethiope East,Delta,5.687990598,5.984137042,115.623
0.844770538,770,485.467,Isoko North,Delta,5.524930792,6.23413937,169.369
0.012417123,771,3951.431,Lavun,Niger,9.273478227,5.683299513,424.153
-0.004622853,772,817.26,Bade,Yobe,12.71046002,10.89590789,216.207
0.008840139,773,7795.261,Maru,Zamfara,11.48607841,6.342002919,536.5
0.204174102,774,81.472,Oron,Akwa Ibom,4.779526213,8.251202156,57.846
