OID,NAME,MIN,MAX,MEAN(mm)
558,Rafi,1160.028567,1488.774757,1303.910939
559,Lavun,1061.961685,1317.130302,1224.501063
560,Lapai,1214.790193,1452.1199,1346.819029
561,Mashegu,1061.961685,1384.200408,1235.646984
562,Ewekoro,1452.412781,1802.988302,1626.13668
563,Odogbolu,1705.187376,1848.334079,1780.949421
564,Abeokuta South,1289.60197,1485.142001,1350.583017
565,Yewa North,1156.179192,1641.93493,1
566,Remo North,1540.245556,1705.187376,1638.245437
567,Yewa South,1554.737766,1763.733759,1685.597954
568,Abeokuta North,1252.414916,1505.065925,1370.253404
569,Odeda,1222.885521,1545.471686,1399.450073
570,Ado Odo/Ota,1614.052211,1826.03257,1743.858376
571,Ogun Waterside,1871.34872,2194.236922,2016.746151
572,Obafemi Owode,1360.752057,1802.988302,1609.321977
573,Ipokia,1505.369584,1814.212267,1
574,Sagamu,1660.127899,1842.654879,1767.932859
575,Imeko Afon,1156.179192,1404.283615,1
576,Ijebu North East,1687.97559,1757.279369,1717.947925
577,Ijebu ode,1712.279689,1828.801951,1756.800168
578,Ikenne,1642.512772,1739.262221,1679.372806
579,Ijebu North,1524.648969,1757.279369,1659.878098
580,Ijebu East,1702.745343,2047.312258,1814.783939
581,Ifo,1614.052211,1924.487969,1743.421474
582,Owo,1311.068344,1737.832279,1425.969813
583,Irele,1847.233691,2127.544822,1995.833282
584,Ondo West,1548.112636,1867.954692,1749.001697
585,Okitipupa,1894.273194,2066.523457,1964.274843
586,Odigbo,1788.076026,2022.90014,1908.798373
587,Ile Oluji/Okeigbo,1466.334891,1729.38692,1594.504444
588,Ilaje,1976.300597,2343.475102,1
589,Ifedore,1364.48261,1555.478904,1465.88742
590,Akoko North West,1369.037932,1606.702422,1490.8914
591,Idanre,1464.355764,1915.677467,1711.936558
592,Akoko South East,1339.441775,1547.017939,1413.617608
593,Akure North,1314.63214,1568.030434,1446.307843
594,Akoko North East,1369.037932,1564.135196,1438.369316
595,Ose,1328.534661,1820.213954,1571.439068
596,Ondo East,1551.68482,1851.718676,1683.867567
597,Akure South,1314.63214,1598.02787,1483.027035
598,Ese Odo,2037.678852,2320.085299,2170.98578
599,Akoko South West,1351.250792,1547.017939,1466.660986
600,Odo Otin,1393.548079,1568.591421,1504.881657
601,Irewole,1465.990902,1550.177172,1504.411864
602,Obokun,1434.773795,1596.143113,1517.844309
603,Isokan,1463.396093,1591.203699,1513.738226
604,Ilesha West,1428.387313,1564.464455,1504.970445
605,Ola Oluwa,1351.318395,1508.649655,1433.449567
606,Atakunmosa West,1507.552684,1676.322923,1587.295466
607,Oriade,1460.241377,1589.559037,1526.541547
608,Olorunda,1419.628602,1615.81191,1532.550413
609,Ogo Oluwa,1350.705913,1585.30218,1440.251994
610,Orolu,1508.229152,1597.017978,1586.26935
611,Atakunmosa East,1551.221057,1611.108852,1585.065175
612,Ilesha East,1428.387313,1587.434882,1496.500037
613,Ila,1434.773795,1587.413251,1518.697942
614,Iwo,1379.519213,1496.202962,1439.562252
615,Osogbo,1419.628602,1567.267006,1470.879615
616,Ede North,1416.912658,1507.552684,1444.397539
617,Ejigbo,1351.318395,1585.30218,1469.8967
618,Ife East,1450.010603,1640.918912,1570.752096
619,Boluwaduro,1449.734743,1538.239548,1513.105363
620,Ife North,1450.010603,1820.250348,1656.712465
621,Boripe,1484.54727,1596.143113,1544.272173
622,Ede South,1416.912658,1597.549108,1546.765305
623,Aiyedire,1397.250665,1529.563869,1497.264208
624,Egbedore,1416.912658,1596.086304,1513.745306
625,Aiyedaade,1469.687897,1787.970469,1598.452338
626,Ifedayo,1463.28386,1587.413251,1548.543653
627,Ife Central,1450.010603,1599.867491,1540.309035
628,Ife South,1581.140971,1788.531595,1673.049878
629,ONA ARA,1339.332127,1585.272257,1488.796658
630,LAGELU,1267.780361,1550.177172,1482.599175
631,Orelope,1173.372924,1339.582179,1247.906713
632,Ori Ire,1116.289872,1418.932893,1229.477446
633,Atiba,1217.288795,1454.83449,1298.789985
634,Ibarapa Central,1251.169348,1326.702361,1286.564176
635,OLUYOLE,1361.034856,1609.803185,1507.978514
636,Oyo East,1245.212463,1385.93276,1338.480015
637,Oyo West,1203.25553,1356.767394,1234.658252
638,Kajola,1266.657786,1397.929642,1338.190925
639,Saki East,1198.983189,1374.447478,1251.652728
640,EGBEDA,1339.332127,1533.136173,1460.491461
641,Saki West,1211.434736,1524.847259,1337.71702
642,Irepo,1077.368614,1268.886855,1152.832366
643,Surulere1,1208.712032,1596.086304,1367.955252
644,AKINYELE,1363.972501,1539.42957,1471.768501
645,Atisbo,1220.725175,1529.579591,1385.096549
646,Olorunsogo,1114.904897,1339.582179,1193.179039
647,Ogbomosho South,1293.482858,1414.623985,1354.777544
648,Ogbomosho North,1208.712032,1356.974153,1279.757296
649,Iwajowa,1307.074108,1514.256468,1398.814855
650,IBADAN NORTH,1267.780361,1408.688083,1333.063774
651,IDO,1315.500785,1535.629488,1435.617805
652,Itesiwaju,1247.265796,1482.570315,1320.049271
653,Iseyin,1234.272317,1383.418316,1291.105773
654,Ibarapa North,1193.037399,1387.018623,1274.126074
655,IBADAN NORTH EAST,1267.780361,1361.034856,1282.504755
656,Afijio,1205.932484,1498.947323,1348.742954
657,IBADAN SOUTH WEST,1267.780361,1421.085913,1354.8284
658,IBADAN NORTH WEST,1267.780361,1408.688083,1321.996309
659,Ibarapa East,1222.885521,1390.744684,1297.128479
660,IBADAN SOUTH EAST,1361.034856,1379.368861,1363.326607
661,Pankshin,999.040651,1241.96464,1100.750296
662,Qua'an Pan,1118.796206,1463.962404,1304.144509
663,Riyom,1284.502578,1481.071275,1380.488894
664,Jos South,1249.313576,1481.071275,1341.208543
665,Langtang North,981.278749,1276.289024,1121.664224
666,Jos North,1259.170589,1402.983035,1328.395936
667,Shendam,1118.796206,1321.066514,1269.955084
668,Jos East,1187.221485,1310.169397,1246.864358
669,Barkin Ladi,1182.776754,1401.66576,1262.097736
670,Kanke,999.040651,1093.586416,1039.923321
671,Langtang South,1171.619965,1301.639208,1240.501651
672,Wase,933.153291,1240.984593,1095.263889
673,Kanam,905.761249,1049.699099,991.308149
674,Bokkos,1144.196249,1427.039966,1268.822315
675,Mangu,1073.52583,1272.953975,1184.184953
676,Mikang,1112.238058,1301.278002,1218.745018
677,Ahoada East,2762.580562,3171.458198,2900.043001
678,Ogba/Egbema/Ndoni,2345.728117,3030.107305,2732.177833
679,Andoni,3079.146387,3990.092225,1
680,Degema,2653.217801,4195.777414,1
681,Ogu/Bolo,3090.325133,3580.556414,1
682,Ahoada West,2859.62163,3255.971742,3103.156891
683,Oyigbo,2620.376468,2984.6048,2862.622649
684,Omumma,2659.478783,2789.318533,2745.782831
685,Akuku Toru,2537.220637,3353.2294,1
686,Bonny,2912.058403,4333.214444,1
687,Abua/Odual,2733.396016,3236.841362,3058.093962
688,Etche,2603.553616,2988.837155,2742.575179
689,Port Harcourt,2479.312003,3138.314353,2781.716355
690,Obio/Akpor,2476.052845,2768.170422,2581.473597
691,Ikwerre,2495.21055,2988.837155,2839.587866
692,Gokana,2919.835162,3518.21675,3127.28866
693,Tai,2708.439545,3124.843993,2918.048618
694,Khana,2894.374332,3966.969116,3274.91182
695,Okrika,2794.974405,3580.556414,1
696,Asari Toru,2797.54366,3104.513643,2894.134066
697,Eleme,2583.871334,3164.464234,2826.855437
698,Opobo/Nkoro,3761.835143,3990.092225,1
699,Emuohua,2662.446079,3037.826652,2860.929252
700,Goronyo,629.51602,768.820353,676.082135
701,Bodinga,815.415915,908.414565,860.574511
702,Tangaza,572.015803,749.61908,1
703,Sokoto North,788.409502,819.196005,810.537109
704,Tambuwal,728.139034,914.09676,798.54238
705,Gada,593.841288,664.056812,643.706741
706,Sabon Birni,506.194595,701.891974,617.765536
707,Binji,675.771445,728.812766,699.781918
708,Gwadabawa,627.637773,718.57603,665.558235
709,Rabah,684.416323,874.234186,783.801845
710,Tureta,811.38379,939.16726,851.598353
711,Isa,656.823636,794.617564,716.050903
712,Gudu,558.360412,706.441832,1
713,Sokoto South,799.745428,808.903846,802.744612
714,Silame,700.177136,785.985739,733.097872
715,Shagari,748.820717,875.473629,809.102064
716,Yabo,720.663272,852.690746,772.888045
717,Dange Shuni,780.145602,905.805294,822.698079
718,Kware,676.70259,812.052637,745.767234
719,Illela,1,1,1
720,Wurno,652.32992,777.793759,720.382346
721,Wamakko,697.277759,843.250993,770.149352
722,Kebbe,821.911319,1072.483081,958.919736
723,Yorro,1070.21518,1596.164856,1323.073968
724,Gassol,1155.631371,1579.615076,1316.749835
725,Takum,1595.755241,2730.025819,1
726,Gashaka,1824.585544,2470.712721,1
727,Bali,1396.306037,2281.358332,1728.681293
728,Ardo Kola,999.316519,1598.143392,1309.207845
729,Karim Lamido,902.223892,1300.946046,1055.54227
730,Kurmi,2147.937548,2774.563941,1
731,Ussa,2109.790837,2741.023297,1
732,Ibi,1084.3456,1273.600621,1184.380056
733,Zing,1137.338479,1596.164856,1358.980766
734,Lau,902.223892,1175.884662,998.695951
735,Jalingo,1110.57829,1445.471959,1229.744122
736,Wukari,1098.866757,1613.031453,1313.124672
737,Donga,1431.604124,2361.57837,1861.272265
738,Sardauna,1835.667542,2472.482234,1
739,Geidam,350.606159,534.628372,454.445319
740,Nangere,592.377471,763.224428,693.152008
741,Damaturu,589.362021,754.779645,640.238979
742,Barde,383.798969,470.084557,422.869661
743,Jakusko,390.033108,650.181583,486.027568
744,Potiskum,664.840952,763.224428,720.343582
745,Gujba,647.620793,880.654467,769.680187
746,Tarmua,453.23509,643.735918,548.244702
747,Gulani,725.645211,888.598819,783.678699
748,Nguru,454.437649,530.607182,503.720915
749,Fune,465.374707,763.565583,658.87427
750,Fika,690.989478,793.241861,753.997866
751,Bursari,383.798969,487.076202,431.587099
752,Karasuwa,402.505282,499.359376,457.903077
753,Yusufari,342.509185,561.113219,1
754,Yunusari,271.217864,462.138442,371.448618
755,Machina,501.69142,562.597746,538.461123
756,Kaura Namoda,808.533005,970.243659,874.68885
757,Anka,890.425409,1122.228977,1012.671538
758,Bakura,805.721402,941.488982,874.919643
759,Maru,926.213938,1357.922515,1165.761681
760,Maradun,755.746102,975.290781,853.063466
761,Bungudu,859.540331,1094.546283,1013.528752
762,Talata Mafara,893.850408,1001.308252,939.914299
763,Gummi,821.355042,1122.351995,964.25522
764,Birnin Magaji/Kiyaw,808.141131,952.207572,877.522772
765,Gusau,847.957088,1223.011757,1052.423855
766,Shinkafi,721.41978,794.793047,758.568891
767,Zurmi,703.526808,868.770026,771.563303
768,Bukkuyum,889.864032,1084.311873,991.957098
